# Re_Psi, Im_Psi, Time
2.476190476190476275e+00 -4.135064334344611126e-02 -2.152674947201789826e-02
2.496240601503759038e+00 -3.757269580056901703e-02 -2.356583937131734655e-02
2.516290726817041801e+00 -3.382099501493625315e-02 -2.520145515175999801e-02
2.536340852130325452e+00 -3.012790178048905393e-02 -2.645543812857028762e-02
2.556390977443609103e+00 -2.652233577328299077e-02 -2.735139868632427765e-02
2.576441102756891866e+00 -2.302977747857700916e-02 -2.791432270358355783e-02
2.596491228070174628e+00 -1.967230681702795969e-02 -2.817019641334445740e-02
2.616541353383458279e+00 -1.646867500273375973e-02 -2.814565239606311303e-02
2.636591478696741930e+00 -1.343440605572446787e-02 -2.786763893373378140e-02
2.656641604010024693e+00 -1.058192433431649759e-02 -2.736311449521674002e-02
2.676691729323307456e+00 -7.920704445068992711e-03 -2.665876867984705648e-02
2.696741854636591107e+00 -5.457439926065034246e-03 -2.578077052282001097e-02
2.716791979949874758e+00 -3.196227178727964122e-03 -2.475454466583440136e-02
2.736842105263157521e+00 -1.138761239990509957e-03 -2.360457552324767005e-02
2.756892230576440284e+00 7.154598641724528845e-04 -2.235423923020334047e-02
2.776942355889723935e+00 2.368925265668943465e-03 -2.102566284686384346e-02
2.796992481203007586e+00 3.825898782961634648e-03 -1.963961001346593502e-02
2.817042606516290348e+00 5.092206493426537639e-03 -1.821539200529362357e-02
2.837092731829573111e+00 6.175026777603293514e-03 -1.677080292518754248e-02
2.857142857142856762e+00 7.082685019676421972e-03 -1.532207759374101981e-02
2.877192982456140413e+00 7.824454898568210942e-03 -1.388387055328334577e-02
2.897243107769423176e+00 8.410367951750033141e-03 -1.246925449012929212e-02
2.917293233082705939e+00 8.851032842781426241e-03 -1.108973629903635058e-02
2.937343358395989590e+00 9.157465516841035297e-03 -9.755288962699407151e-03
2.957393483709273241e+00 9.340931188964358284e-03 -8.474397395518081660e-03
2.977443609022556004e+00 9.412798879848190831e-03 -7.254116402673860958e-03
2.997493734335838766e+00 9.384408996071598799e-03 -6.100138930472928482e-03
3.017543859649122417e+00 9.266954247215913529e-03 -5.016872829548304526e-03
3.037593984962406068e+00 9.071374003096443345e-03 -4.007524416406860537e-03
3.057644110275688831e+00 8.808262021262811686e-03 -3.074187198456922263e-03
3.077694235588971594e+00 8.487787318881319029e-03 -2.217934220573838672e-03
3.097744360902255245e+00 8.119627824571127445e-03 -1.438912595007896342e-03
3.117794486215538896e+00 7.712916324934753799e-03 -7.364388886417705870e-04
3.137844611528821659e+00 7.276198117346920589e-03 -1.090941599938328213e-04
3.157894736842104422e+00 6.817399694753255822e-03 4.451824392063504551e-04
3.177944862155388073e+00 6.343807719277365885e-03 9.290024585760680220e-04
3.197994987468671724e+00 5.862057488653435802e-03 1.345440175813917508e-03
3.218045112781954487e+00 5.378130062045601359e-03 1.697948568468268023e-03
